iter	Passed	Remaining
0	178	178527
1	213	106731
2	342	113726
3	376	93791
4	407	81184
5	585	96997
6	790	112113
7	828	102794
8	865	95353
9	1001	99131
10	1139	102409
11	1207	99399
12	1242	94371
13	1358	95675
14	1403	92131
15	1436	88363
16	1467	84853
17	1587	86628
18	1750	90361
19	1782	87354
20	1823	85011
21	1950	86727
22	1985	84342
23	2116	86090
24	2156	84107
25	2329	87283
26	2374	85569
27	2512	87232
28	2551	85446
29	2676	86524
30	2744	85779
31	2783	84191
32	2818	82601
33	2920	82983
34	2998	82679
35	3035	81281
36	3069	79892
37	3202	81080
38	3264	80444
39	3312	79498
40	3446	80614
41	3495	79725
42	3630	80803
43	3676	79885
44	3716	78862
45	3748	77746
46	3929	79683
47	4060	80532
48	4103	79648
49	4140	78678
50	4271	79477
51	4321	78779
52	4360	77905
53	4513	79063
54	4562	78389
55	4602	77591
56	4740	78422
57	4771	77501
58	4954	79019
59	4992	78213
60	5024	77342
61	5484	82972
62	5525	82187
63	5558	81297
64	5692	81884
65	5729	81080
66	5999	83543
67	6034	82701
68	6210	83800
69	6247	83002
70	6279	82170
71	6422	82784
72	6457	82005
73	6577	82303
74	6699	82630
75	6733	81864
76	6872	82378
77	6913	81721
78	6950	81025
79	7144	82164
80	7181	81482
81	7335	82116
82	7384	81589
83	7432	81055
84	7466	80377
85	7583	80591
86	7707	80888
87	7739	80211
88	7868	80543
89	7916	80040
90	7952	79442
91	8068	79633
92	8199	79963
93	8250	79519
94	8288	78962
95	8408	79176
96	8448	78644
97	8578	78959
98	8709	79264
99	8768	78920
100	8808	78401
101	8842	77845
102	8876	77299
103	9011	77640
104	9047	77117
105	9165	77298
106	9203	76812
107	9382	77492
108	9461	77338
109	9513	76970
110	9738	77991
111	9770	77464
112	9895	77676
113	9932	77195
114	10122	77896
115	10171	77513
116	10333	77983
117	10377	77570
118	10417	77126
119	10452	76654
120	10610	77079
121	10814	77828
122	10916	77833
123	10961	77439
124	10996	76978
125	11032	76524
126	11156	76690
127	11212	76382
128	11247	75945
129	11375	76131
130	11439	75884
131	11477	75474
132	11514	75062
133	11561	74717
134	11679	74832
135	11833	75175
136	11941	75223
137	12019	75075
138	12054	74666
139	12199	74939
140	12251	74637
141	12282	74213
142	12408	74366
143	12567	74707
144	12615	74388
145	12649	73988
146	12841	74518
147	12964	74633
148	13002	74264
149	13228	74962
150	13351	75071
151	13404	74785
152	13440	74404
153	13472	74012
154	13618	74243
155	13672	73969
156	13709	73609
157	13837	73743
158	13939	73729
159	13982	73409
160	14021	73066
161	14061	72737
162	14304	73452
163	14456	73690
164	14497	73365
165	14600	73353
166	14716	73407
167	14937	73977
168	14993	73723
169	15239	74403
170	15297	74161
171	15651	75343
172	15959	76293
173	16172	76770
174	16228	76506
175	16271	76179
176	16389	76205
177	16472	76070
178	16509	75721
179	16541	75356
180	16575	75002
181	16590	74568
182	16607	74142
183	16620	73710
184	16634	73283
185	16658	72903
186	16677	72507
187	16699	72127
188	16718	71737
189	16736	71349
190	16753	70960
191	16783	70630
192	16802	70256
193	16819	69878
194	16836	69504
195	16852	69130
196	16866	68751
197	16881	68378
198	16895	68007
199	16911	67646
200	16926	67284
201	16942	66930
202	16959	66585
203	16975	66239
204	16990	65890
205	17005	65545
206	17019	65199
207	17033	64858
208	17047	64519
209	17061	64182
210	17077	63859
211	17092	63532
212	17106	63207
213	17122	62887
214	17135	62565
215	17150	62248
216	17164	61934
217	17177	61619
218	17191	61307
219	17206	61005
220	17221	60703
221	17235	60402
222	17249	60103
223	17263	59804
224	17277	59512
225	17295	59232
226	17309	58944
227	17324	58659
228	17338	58375
229	17352	58093
230	17366	57814
231	17381	57538
232	17395	57263
233	17409	56990
234	17422	56715
235	17437	56450
236	17452	56187
237	17468	55927
238	17482	55667
239	17497	55407
240	17510	55147
241	17524	54891
242	17538	54636
